Healthy,W40,W81,W115,W159,W175,W195,W227,W256,W276,W294,W305,W323,W344,W378,W400,W417,W436,W450,W466,W488,W510,W524,W557,W579,W608,W637,W684,W720,W744,W769,W797,W825,W853,W890,W932
0.624610764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.633808635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.629348165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.633157525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.609031057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.619310645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.598134173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.601190623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.577399707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.588502904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.585817806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.583520136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.58125244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.584241869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.606271998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.604420668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.576772388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.580801527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.585737396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.579816817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.580753402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.569835308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.548016898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.563220126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.550042459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
